,Player,Weekly Salary
1528,Lionel Messi,1538905.0
1006,Cristiano Ronaldo,1248536.0
1529,Antoine Griezmann,997032.0
2004,Neymar,797726.0
1530,Gareth Bale,607706.0
1532,Philippe Coutinho,508923.0
1531,Luis Suárez,508923.0
0,Alexis Sánchez,461765.0
1,Mesut Özil,461765.0
1535,Toni Kroos,434977.0
1534,Sergio Ramos,434977.0
1533,Marcelo,434977.0
2005,Kylian Mbappé,405464.0
1536,Luka Modric,405311.0
2006,Edinson Cavani,400548.0
2,Gonzalo Higuaín,400290.0
3,Paul Pogba,382606.0
1537,Karim Benzema,359813.0
1538,Diego Costa,347764.0
497,Robert Lewandowski,346807.0
1539,Koke,346785.0
2007,Thiago Silva,345937.0
498,Manuel Neuer,326233.0
1541,Sergio Busquets,325124.0
499,Thomas Müller,325124.0
4,Kevin De Bruyne,303624.0
5,Sergio Agüero,303624.0
6,Eden Hazard,296088.0
1542,Ivan Rakitic,290434.0
2009,Ángel Di María,289238.0
2008,Marquinhos,289238.0
2010,Mario Balotelli,282735.0
1007,Paulo Dybala,281930.0
500,James Rodríguez,281778.0
1543,Thibaut Courtois,281778.0
1544,Gerard Piqué,277080.0
1545,Isco,276145.0
8,Harry Kane,263866.0
9,Henrikh Mkhitaryan,263866.0
11,Riyad Mahrez,263866.0
10,Mohamed Salah,263866.0
7,David de Gea,263866.0
1008,Miralem Pjanic,261791.0
1547,Samuel Umtiti,260986.0
1546,Ousmane Dembélé,260986.0
1548,Saúl Ñíguez,260769.0
501,Franck Ribéry,260094.0
502,Jérôme Boateng,260094.0
503,Thiago,260094.0
1009,Douglas Costa,241651.0
1010,Gianluigi Donnarumma,241651.0
12,Alexandre Lacazette,240220.0
504,Marco Reus,238433.0
14,Nicolás Otamendi,237479.0
13,Fernandinho,237479.0
15,Pierre-Emerick Aubameyang,237479.0
16,Roberto Firmino,237479.0
17,Romelu Lukaku,237479.0
18,Virgil van Dijk,237479.0
1549,Jan Oblak,234083.0
1550,Vitolo,234083.0
1551,Raphaël Varane,225427.0
1011,Leonardo Bonucci,221512.0
1012,Mario Mandzukic,221512.0
507,Mats Hummels,216749.0
506,Mario Götze,216749.0
505,David Alaba,216749.0
1552,Sergi Roberto,216749.0
1553,Álvaro Morata,214161.0
1554,Diego Godín,212943.0
20,Juan Mata,211093.0
19,David Silva,211093.0
1013,Emre Can,201373.0
21,Kepa,201350.0
22,Bernardo Silva,197900.0
26,Vincent Kompany,197900.0
25,Raheem Sterling,197900.0
24,N'Golo Kanté,197900.0
23,Luke Shaw,197900.0
1555,Arturo Vidal,195740.0
2011,Falcao,195065.0
1556,Iñigo Martínez,195065.0
1558,Keylor Navas,186605.0
1559,Marc-André ter Stegen,186605.0
1557,Jordi Alba,186605.0
1560,Mariano Díaz,186605.0
1014,Lorenzo Insigne,185278.0
27,Chicharito,184706.0
31,Jordan Henderson,184706.0
30,Jamie Vardy,184706.0
29,James Milner,184706.0
28,Ilkay Gündogan,184706.0
2013,Gianluigi Buffon,182060.0
2012,Dani Alves,182060.0
1562,Simon Kjær,181233.0
1561,Marco Asensio,181233.0
1015,Edin Dzeko,181233.0
1016,Mauro Icardi,181233.0
1017,Radja Nainggolan,181233.0
1563,Daniel Carvajal,179906.0
509,Leon Goretzka,173991.0
508,Kingsley Coman,173991.0
511,Joshua Kimmich,173404.0
510,Axel Witsel,173404.0
34,Wilfried Zaha,171513.0
32,Daniel Sturridge,171513.0
33,Kasper Schmeichel,171513.0
1564,Filipe Luís,169054.0
35,David Luiz,165804.0
36,Danny Welbeck,164916.0
37,Max Meyer,164916.0
1565,Thomas Vermaelen,163986.0
1566,Kévin Gameiro,163421.0
1021,Ivan Perisic,161094.0
1019,Dries Mertens,161094.0
1018,Blaise Matuidi,161094.0
1022,Juan Cuadrado,161094.0
1023,Sami Khedira,161094.0
1024,Wojciech Szczesny,161094.0
1020,Giorgio Chiellini,161094.0
44,Fred,158320.0
43,Christian Benteke,158320.0
46,Nemanja Matic,158320.0
47,Victor Lindelöf,158320.0
48,Willian,158320.0
49,Yerry Mina,158320.0
42,Bernard,158320.0
41,Aymeric Laporte,158320.0
40,Ashley Young,158320.0
39,Alex Oxlade-Chamberlain,158320.0
38,Aaron Ramsey,158320.0
45,Naby Keïta,158320.0
2014,Presnel Kimpembe,157810.0
2017,Marco Verratti,156048.0
2016,Julian Draxler,156048.0
2015,Dimitri Payet,156048.0
1025,Stefan De Vrij,153047.0
512,Corentin Tolisso,152242.0
51,Claudio Bravo,151723.0
50,Ander Herrera,151723.0
513,Arjen Robben,151720.0
1567,Rodri,148262.0
1568,Rodrigo,148262.0
52,André Gomes,148044.0
58,Marcos Rojo,145126.0
57,Kyle Walker,145126.0
59,Olivier Giroud,145126.0
60,Petr Cech,145126.0
56,Jorginho,145126.0
54,Anthony Martial,145126.0
53,Adam Lallana,145126.0
55,Héctor Bellerín,145126.0
1569,Nolito,143542.0
1570,Geoffrey Kondogbia,140954.0
1030,Lucas Biglia,140954.0
1029,Kalidou Koulibaly,140954.0
1028,João Miranda,140954.0
1027,Javier Pastore,140954.0
1031,Tiemoué Bakayoko,140954.0
1026,Alessio Romagnoli,140954.0
2018,Gelson Martins,140889.0
1574,Thomas Lemar,140824.0
1571,Juanfran,140824.0
1572,Juanfran Moreno,140824.0
1573,Nikola Kalinic,140824.0
61,Mateo Kovacic,140737.0
1575,Éver Banega,140063.0
2019,Cesc Fàbregas,137387.0
62,André Schürrle,136652.0
1576,Carlos Bacca,133081.0
69,Ederson,131933.0
74,Hugo Lloris,131933.0
80,Mamadou Sakho,131933.0
79,João Moutinho,131933.0
78,Jordan Pickford,131933.0
77,John Stones,131933.0
76,Joel Matip,131933.0
75,Jack Wilshere,131933.0
72,Granit Xhaka,131933.0
73,Gylfi Sigurdsson,131933.0
70,Eliaquim Mangala,131933.0
66,Danny Drinkwater,131933.0
67,Dejan Lovren,131933.0
82,Marko Arnautovic,131933.0
68,Dele Alli,131933.0
71,Fabinho,131933.0
81,Marcos Alonso,131933.0
85,Rui Patrício,131933.0
83,Morgan Schneiderlin,131933.0
84,Ross Barkley,131933.0
63,Antonio Rüdiger,131933.0
86,Sadio Mané,131933.0
87,Sead Kolasinac,131933.0
88,Sokratis,131933.0
89,Theo Walcott,131933.0
64,Benjamin Mendy,131933.0
65,Bernd Leno,131933.0
90,Pedro,131654.0
514,Thomas Delaney,130493.0
2020,Layvin Kurzawa,130493.0
2021,Luiz Gustavo,130058.0
515,Javi Martínez,130058.0
1032,Samir Handanovic,128884.0
1577,Raúl García,125534.0
1578,Raúl García Carnero,125534.0
92,Leroy Sané,125336.0
91,Heung-min Son,125336.0
1033,Steven Nzonzi,124860.0
1579,Gonçalo Guedes,124621.0
1043,Pepe Reina,120837.0
1042,Kwadwo Asamoah,120837.0
1041,Keita Baldé,120837.0
1034,Andrea Barzagli,120837.0
1035,Antonio Candreva,120837.0
1040,João Cancelo,120837.0
1036,Daniele De Rossi,120837.0
1037,Daniele Rugani,120837.0
1038,Federico Bernardeschi,120837.0
1039,José Callejón,120837.0
1044,Suso,120837.0
99,Lucas Digne,118740.0
93,Alisson,118740.0
94,Andy Carroll,118740.0
101,Shkodran Mustafi,118740.0
100,Richarlison,118740.0
98,Laurent Koscielny,118740.0
97,Harry Maguire,118740.0
96,Gabriel Jesus,118740.0
95,César Azpilicueta,118740.0
102,Jan Vertonghen,118435.0
1580,Vinícius Júnior,115486.0
1581,Dani Parejo,114877.0
103,Denis Suárez,113868.0
1045,Alessandro Florenzi,112768.0
1046,Alex Sandro,112768.0
1047,Diego Perotti,112768.0
1048,Sime Vrsaljko,112768.0
104,Antonio Valencia,112143.0
105,Felipe Anderson,112143.0
1049,João Mário,108744.0
1582,Ezequiel Garay,108744.0
518,Sebastian Rudy,108744.0
1050,Konstantinos Manolas,108744.0
517,Marius Wolf,108744.0
2022,Juan Bernat,108744.0
2023,Thilo Kehrer,108744.0
516,Ignacio Camacho,108744.0
1583,Munir El Haddadi,108375.0
519,Karim Bellarabi,108375.0
520,Kevin Volland,108375.0
521,Mahmoud Dahoud,108375.0
522,Nabil Bentaleb,108375.0
523,Rafinha,108375.0
524,Sven Bender,108375.0
525,Yevhen Konoplyanka,108375.0
2024,Adrien Silva,107091.0
2025,Florian Thauvin,106635.0
1584,Arthur,106200.0
111,Gary Cahill,105546.0
110,Fabian Delph,105546.0
108,Eric Bailly,105546.0
107,Danilo,105546.0
112,Jonny Evans,105546.0
106,Andreas Christensen,105546.0
113,Lucas Moura,105546.0
115,Xherdan Shaqiri,105546.0
114,Moussa Sissoko,105546.0
109,Erik Lamela,105546.0
1585,Nacho,100697.0
1051,Arkadiusz Milik,100697.0
1052,Borja Valero,100697.0
1053,Fabio Borini,100697.0
1054,Federico Fazio,100697.0
1055,Hakan Calhanoglu,100697.0
1056,Marcelo Brozovic,100697.0
1057,Matías Vecino,100697.0
1058,Patrik Schick,100697.0
1059,Riccardo Montolivo,100697.0
121,Lazar Markovic,98950.0
125,Phil Jones,98950.0
124,Pablo Zabaleta,98950.0
123,Nathaniel Clyne,98950.0
122,Lucas Torreira,98950.0
116,Christian Eriksen,98950.0
120,Jesse Lingard,98950.0
119,Georginio Wijnaldum,98950.0
118,Fernando Llorente,98950.0
117,Danny Ings,98950.0
127,Wilfred Ndidi,98950.0
126,Stephan Lichtsteiner,98950.0
2026,Kevin Strootman,98631.0
1586,Yuri Berchiche,98631.0
527,Mario Gómez,97870.0
526,Lukas Hradecky,97870.0
1587,Stefan Savic,97609.0
528,Marcel Sabitzer,97544.0
531,Yunus Malli,97544.0
530,Serge Gnabry,97544.0
529,Omar Mascarell,97544.0
1588,Jasper Cillessen,97261.0
1589,Rafinha Alcantara,97261.0
1590,Adnan Januzaj,96695.0
1060,Andrea Ranocchia,96652.0
1061,Faouzi Ghoulam,96652.0
1591,Malcom,95412.0
1592,Diego López,95064.0
1062,Luis Muriel,93303.0
1066,Mattia Perin,92628.0
1063,Ciro Immobile,92628.0
1064,Ignazio Abate,92628.0
1065,Lucas Leiva,92628.0
141,Nacho Monreal,92353.0
142,Ricardo Pereira,92353.0
143,Ryan Bertrand,92353.0
144,Seamus Coleman,92353.0
129,Andre Gray,92353.0
128,Abdoulaye Doucouré,92353.0
134,Davide Zappacosta,92353.0
145,Serge Aurier,92353.0
139,Manuel Lanzini,92353.0
138,Lucas Pérez,92353.0
137,Jonjo Shelvey,92353.0
136,Idrissa Gueye,92353.0
135,Fraser Forster,92353.0
133,Chris Smalling,92353.0
132,Charlie Austin,92353.0
131,Asmir Begovic,92353.0
130,Angelo Ogbonna,92353.0
146,Sergio Romero,92353.0
147,Winston Reid,92353.0
140,Michail Antonio,92353.0
2028,Steve Mandanda,91041.0
2027,Memphis Depay,91041.0
1069,Mattia Caldara,88605.0
1068,Juan Jesus,88605.0
1067,Franck Kessié,88605.0
2029,Nacer Chadli,88431.0
148,André Zambo Anguissa,88395.0
149,Issa Diop,88395.0
532,Lars Bender,87082.0
535,Daniel Ginczek,86995.0
533,Abdou Diallo,86995.0
536,Leon Bailey,86995.0
537,Mark Uth,86995.0
538,Matija Nastasic,86995.0
539,Maximilian Arnold,86995.0
540,Paul-Georges Ntep,86995.0
541,Sebastian Jung,86995.0
534,Breel Embolo,86995.0
545,Julian Weigl,86691.0
2030,Lassana Diarra,86691.0
547,Paco Alcácer,86691.0
546,Maximilian Philipp,86691.0
542,Emil Forsberg,86691.0
544,Julian Brandt,86691.0
543,John Anthony Brooks,86691.0
1593,Jesús Navas,86691.0
548,Raffael,86691.0
549,Jean-Kévin Augustin,86125.0
160,Troy Deeney,85756.0
152,Cheikhou Kouyaté,85756.0
151,Ben Chilwell,85756.0
159,Oriol Romeu,85756.0
158,Mario Lemina,85756.0
157,Lukasz Fabianski,85756.0
156,Leighton Baines,85756.0
155,Kieran Trippier,85756.0
161,Victor Wanyama,85756.0
154,Jean Michaël Seri,85756.0
153,Davinson Sánchez,85756.0
150,Alberto Moreno,85756.0
1071,Ricardo Rodríguez,84581.0
1070,Raúl Albiol,84581.0
1594,Iago Aspas,84168.0
550,Bruma,82646.0
1595,Franco Vázquez,82080.0
1596,Sofiane Boufal,81884.0
1072,Cédric Soares,81884.0
1082,Stephan El Shaarawy,80558.0
1073,Aleksandar Kolarov,80558.0
1074,Allan,80558.0
1075,Andrea Bertolacci,80558.0
1077,Giacomo Bonaventura,80558.0
1078,Ivan Strinic,80558.0
1079,Mateo Musacchio,80558.0
1080,Mattia De Sciglio,80558.0
1081,Mattia Destro,80558.0
1076,Andrea Conti,80558.0
1597,Neto,80558.0
1598,André Silva,80471.0
1599,Maxime Gonalons,80471.0
1600,Lucas Vázquez,80275.0
1601,Iñaki Williams,79296.0
1602,Francis Coquelin,79166.0
1603,Gabriel Paulista,79166.0
165,Connor Wickham,79160.0
163,Ben Davies,79160.0
164,Cenk Tosun,79160.0
178,Wes Morgan,79160.0
177,Vicente Guaita,79160.0
176,Simon Mignolet,79160.0
162,Aleksandar Mitrovic,79160.0
174,Scott Dann,79160.0
173,Nathan Redmond,79160.0
172,Mohamed Elyounoussi,79160.0
171,Michael Keane,79160.0
170,Kelechi Iheanacho,79160.0
169,Jannik Vestergaard,79160.0
168,Gerard Deulofeu,79160.0
167,Eric Dier,79160.0
175,Shane Long,79160.0
166,Danny Rose,79160.0
2032,Yann M'Vila,78905.0
2031,Hatem Ben Arfa,78905.0
1604,Theo Hernández,78296.0
551,Kevin Trapp,78035.0
2033,Adil Rami,78035.0
2034,Bertrand Traoré,78035.0
1605,Marc Bartra,78035.0
2035,Mapou Yanga-Mbiwa,78035.0
2036,Nabil Fekir,78035.0
1606,Álvaro Odriozola,77578.0
1607,Gerard Moreno,77426.0
1608,Aleix Vidal,76164.0
554,Ömer Toprak,76121.0
552,Admir Mehmedi,76121.0
553,Salif Sané,76121.0
556,Kevin Kampl,75860.0
555,Davy Klaassen,75860.0
1610,Ángel Correa,75860.0
1609,David López,75860.0
1611,Guido Carrillo,75577.0
1612,Daniel Wass,75468.0
2037,Kamil Glik,75425.0
1613,Nélson Semedo,74577.0
2038,Leandro Paredes,74490.0
179,Jeffrey Schlupp,73882.0
180,Luciano Vietto,73045.0
2039,Stevan Jovetic,72837.0
182,Ben Mee,72563.0
181,Andros Townsend,72563.0
190,Pedro Obiang,72563.0
189,Patrick van Aanholt,72563.0
188,Luka Milivojevic,72563.0
186,James Maddison,72563.0
187,James McArthur,72563.0
185,Jairo Riedewald,72563.0
184,Diogo Jota,72563.0
183,Demarai Gray,72563.0
1083,Krzysztof Piatek,72511.0
1085,Justin Kluivert,72489.0
1084,Andrea Belotti,72489.0
1087,Mário Rui,72489.0
1088,Sergej Milinkovic-Savic,72489.0
1089,Simone Verdi,72489.0
1086,Lorenzo Pellegrini,72489.0
1614,José Gayà,71532.0
1615,Pablo Piatti,71532.0
191,Yoshinori Muto,71244.0
2040,Jemerson,70097.0
2041,Djibril Sidibé,69531.0
1091,Danilo D'Ambrosio,68465.0
1090,Cristián Zapata,68465.0
1098,Vlad Chiriches,68465.0
1092,Diego Laxalt,68465.0
1093,Federico Chiesa,68465.0
1094,Felipe Caicedo,68465.0
1095,Lucas Paquetá,68465.0
1096,Milan Skriniar,68465.0
1097,Salvatore Sirigu,68465.0
2042,Thomas Meunier,67617.0
1616,Quincy Promes,67508.0
1617,José Giménez,67095.0
1618,William Carvalho,66812.0
2043,Naldo,66769.0
215,Phil Jagielka,65966.0
211,Mohamed Elneny,65966.0
212,Nampalys Mendy,65966.0
213,Oumar Niasse,65966.0
214,Pascal Groß,65966.0
216,Pierre-Emile Höjbjerg,65966.0
209,Martín Montoya,65966.0
217,Rúben Neves,65966.0
218,Stuart Armstrong,65966.0
219,Toby Alderweireld,65966.0
220,Tom Cleverley,65966.0
198,Andrew Robertson,65966.0
210,Maya Yoshida,65966.0
200,Carlos Sánchez,65966.0
201,Chris Wood,65966.0
207,Jefferson Lerma,65966.0
206,James Tomkins,65966.0
192,Aaron Cresswell,65966.0
193,Aaron Mooy,65966.0
194,Adrián,65966.0
195,Alex Iwobi,65966.0
196,Alex McCarthy,65966.0
197,Alireza Jahanbakhsh,65966.0
205,James Tarkowski,65966.0
204,James McCarthy,65966.0
203,Harry Winks,65966.0
202,Christian Fuchs,65966.0
208,Mark Noble,65966.0
199,Calum Chambers,65966.0
1619,Sandro Ramírez,65508.0
570,Ádám Szalai,65247.0
557,Alassane Plea,65247.0
559,Andrej Kramaric,65247.0
560,Ante Rebic,65247.0
561,Christoph Kramer,65247.0
2044,Aymen Abdennour,65247.0
562,Gonzalo Castro,65247.0
563,Holger Badstuber,65247.0
564,Jeffrey Bruma,65247.0
565,Jonathas,65247.0
566,Mitchell Weiser,65247.0
567,Niklas Süle,65247.0
568,Nordi Mukiele,65247.0
569,Sandro Wagner,65247.0
558,Aleksandar Dragovic,65247.0
580,Vedad Ibisevic,65029.0
571,Jonathan Tah,65029.0
2045,Adrien Rabiot,65029.0
2047,José Fonte,65029.0
2048,Rafael,65029.0
2049,Thiago Maia,65029.0
579,Timo Werner,65029.0
582,Yannick Gerhardt,65029.0
581,Wout Weghorst,65029.0
2046,Dante,65029.0
572,Kerem Demirbay,65029.0
574,Marcel Halstenberg,65029.0
577,Ralf Fährmann,65029.0
576,Max Kruse,65029.0
575,Matthias Ginter,65029.0
573,Lars Stindl,65029.0
578,Sebastian Rode,65029.0
1620,Dani Ceballos,64507.0
584,Lucas Alario,64464.0
583,Charles Aránguiz,64464.0
1100,Matteo Politano,64442.0
1101,Papu Gómez,64442.0
1099,Elseid Hysaj,64442.0
1102,Simone Zaza,64442.0
1621,Willian José,64007.0
221,Jack Stephens,63328.0
1103,Manolo Gabbiadini,62985.0
585,Lukasz Piszczek,62854.0
1622,Pablo Sarabia,62354.0
1623,Asier Illarramendi,62202.0
1624,Roque Mesa,62202.0
1625,Lucas Hernández,61636.0
2050,Aleksandr Golovin,60788.0
222,Kurt Zouma,60689.0
586,Salomon Kalou,60679.0
1104,Amin Younes,60418.0
1117,Rick Karsdorp,60418.0
1105,Duván Zapata,60418.0
1112,Leonardo Spinazzola,60418.0
1106,Fabián Ruiz,60418.0
1113,Luis Alberto,60418.0
1114,Marko Pjaca,60418.0
1115,Milan Badelj,60418.0
1116,Nicolas N'Koulou,60418.0
1119,Samu Castillejo,60418.0
1120,Valon Berisha,60418.0
1111,Lautaro Martínez,60418.0
1110,Iván Marcano,60418.0
1118,Roberto Gagliardini,60418.0
1109,Iago Falque,60418.0
1108,Gianluca Lapadula,60418.0
1107,Francesco Acerbi,60418.0
2051,M'Baye Niang,60353.0
236,Lewis Dunk,59370.0
230,Fabri,59370.0
231,James Ward-Prowse,59370.0
232,Joe Hart,59370.0
233,Joshua King,59370.0
234,José Izquierdo,59370.0
235,Jürgen Locadia,59370.0
242,Roberto Pereyra,59370.0
237,Marc Albrighton,59370.0
238,Matt Ritchie,59370.0
239,Matteo Darmian,59370.0
240,Mohamed Diamé,59370.0
241,Rachid Ghezzal,59370.0
243,Sebastian Prödl,59370.0
244,Steve Cook,59370.0
227,Daryl Janmaat,59370.0
226,Danny Simpson,59370.0
225,Carl Jenkinson,59370.0
224,Caglar Söyüncü,59370.0
223,Ayoze Pérez,59370.0
245,Steven Defour,59370.0
229,Divock Origi,59370.0
228,Davy Pröpper,59370.0
246,Sergio Rico,59218.0
587,Ibrahima Traoré,58722.0
1626,Clément Lenglet,58700.0
1627,Vicente Iborra,58287.0
2052,Anthony Lopes,57221.0
1628,Bruno Soriano,57004.0
248,Federico Fernández,56731.0
247,Adama Traoré,56731.0
1630,Wesley Hoedt,56699.0
1629,Borja Bastón,56699.0
249,Ryan Babel,56503.0
1128,Senad Lulic,56395.0
1130,Tomás Rincón,56395.0
1129,Stefan Radu,56395.0
1126,José Mauri,56395.0
1127,Marco Parolo,56395.0
1125,Dennis Praet,56395.0
1124,David Ospina,56395.0
1123,Daniele Baselli,56395.0
1122,Cristian Ansaldi,56395.0
1121,Bryan Cristante,56395.0
1131,Roberto Soriano,56221.0
250,Miguel Almirón,55843.0
252,Tom Heaton,55412.0
251,Emerson,55412.0
253,Antonio Barreca,54473.0
254,Raúl Jiménez,54397.0
595,Sven Ulreich,54372.0
593,Niclas Füllkrug,54372.0
589,Daniel Didavi,54372.0
588,Bastian Oczipka,54372.0
590,Jiri Pavlenka,54372.0
591,Josip Drmic,54372.0
592,Marcel Schmelzer,54372.0
594,Roman Bürki,54372.0
602,Willi Orban,54176.0
603,Yann Sommer,54176.0
2053,Moussa Dembélé,54176.0
596,Daniel Caligiuri,54176.0
601,Vladimir Darida,54176.0
